,B2,B4,B8,B11,id
0,0.010595855303108692,0.006605862639844418,0.006285612937062979,0.007472464349120855,ROI_0001/20190212T142031_20190212T143214_T19FDF
1,0.014247939921915531,0.009216608479619026,0.011392863467335701,0.010869033634662628,ROI_0001/20190304T142031_20190304T142654_T19FDF
2,0.012567780911922455,0.012792492285370827,0.01410930696874857,0.017826063558459282,ROI_0001/20190316T141049_20190316T142437_T19FDF
3,0.03562037646770477,0.020113645121455193,0.014096591621637344,0.00759813142940402,ROI_0001/20190525T141059_20190525T142053_T19FDF
4,0.017986835911870003,0.00967260543256998,0.009684557095170021,0.012431242503225803,ROI_0001/20200308T141731_20200308T143551_T19FDF
5,0.013103540986776352,0.0034867525100708008,0.009003112092614174,0.004818719811737537,ROI_0010/20190125T112341_20190125T112624_T28QFG
6,0.008487719111144543,0.010535558685660362,0.005083141382783651,0.005008740350604057,ROI_0010/20190724T112121_20190724T113118_T28QFG
7,0.007490878459066153,0.008621887303888798,0.005128682125359774,0.009367554448544979,ROI_0010/20190813T112121_20190813T113228_T28QFG
8,0.0032515530474483967,0.007320162374526262,0.005186780821532011,0.012747783213853836,ROI_0010/20190907T112119_20190907T112853_T28QFG
9,0.02391636185348034,0.01391705684363842,0.003109915880486369,0.00012126749788876623,ROI_0010/20190922T112111_20190922T113547_T28QFG
10,0.008653554134070873,0.01195862889289856,0.018020259216427803,0.016546688973903656,ROI_0011/20190130T103251_20190130T104108_T31REP
11,0.004690185189247131,0.009018518961966038,0.011712715029716492,0.006478629074990749,ROI_0011/20190306T103019_20190306T103540_T31REP
12,0.010565665550529957,0.007715136278420687,0.01045481488108635,0.001946673379279673,ROI_0011/20190318T102021_20190318T102646_T31REP
13,0.010348208248615265,0.017182977870106697,0.017029909417033195,0.014096559025347233,ROI_0011/20190517T102031_20190517T102508_T31REP
14,0.006762472912669182,0.014593489468097687,0.014003109186887741,0.022649917751550674,ROI_0011/20190830T102029_20190830T102552_T31REP
15,0.004097775090485811,0.002979899989441037,0.0033724685199558735,0.004859268199652433,ROI_0032/20190315T032531_20190315T033351_T49TFH
16,0.007168387062847614,0.0048867990262806416,0.0036423758137971163,0.006470197811722755,ROI_0032/20190330T032539_20190330T033305_T49TFH
17,0.005307952407747507,0.00428375881165266,0.008496196009218693,0.005355785600841045,ROI_0032/20190713T032541_20190713T033534_T49TFH
18,0.006219734437763691,0.0037209540605545044,0.005693829618394375,0.006321546621620655,ROI_0032/20190817T032539_20190817T033403_T49TFH
19,0.01840675063431263,0.0060512106865644455,0.0071830120868980885,0.007079935632646084,ROI_0032/20191110T032951_20191110T033139_T49TFH
20,0.009417298249900341,0.00815714430063963,0.009659686125814915,0.005891222041100264,ROI_0044/20190327T100029_20190327T101005_T32QMM
21,0.0074514527805149555,0.006320026237517595,0.008466239087283611,0.006161876954138279,ROI_0044/20190526T100039_20190526T100712_T32QMM
22,,,,,ROI_0044/20190908T100031_20190908T100836_T32QMM
23,0.0066572981886565685,0.004401813726872206,0.004777183756232262,0.008792492561042309,ROI_0044/20200106T100401_20200106T100404_T32QMM
24,0.006836400832980871,0.007869317196309566,0.009357956238090992,0.006426044274121523,ROI_0044/20200321T100029_20200321T100458_T32QMM
25,0.012240068055689335,0.009170467033982277,0.012099779210984707,0.008764533326029778,ROI_0064/20181217T015619_20181217T020219_T51JVH
26,0.008677361533045769,0.010942917317152023,0.013527258299291134,0.003674941835924983,ROI_0064/20190317T015619_20190317T020354_T51JVH
27,0.030538387596607208,0.01288220752030611,0.013259205035865307,0.0070811728946864605,ROI_0064/20190615T015629_20190615T020446_T51JVH
28,0.03267466649413109,0.009137655608355999,0.01148443017154932,0.0061264862306416035,ROI_0064/20190622T014709_20190622T015123_T51JVH
29,0.014055236242711544,0.008946620859205723,0.008972378447651863,0.005674863234162331,ROI_0064/20191102T015619_20191102T020403_T51JVH
30,0.015844885259866714,0.011151921935379505,0.014148266054689884,0.013486109673976898,ROI_0065/20190101T142749_20190101T143756_T19HCA
31,0.014409293420612812,0.009416368789970875,0.014229322783648968,0.011414867825806141,ROI_0065/20190116T142751_20190116T143701_T19HCA
32,0.019989043474197388,0.015606448985636234,0.016846727579832077,0.017525868490338326,ROI_0065/20190404T143759_20190404T144906_T19HCA
33,0.027369042858481407,0.011965610086917877,0.010420022532343864,0.007190492935478687,ROI_0065/20200129T143659_20200129T144449_T19HCA
34,0.01192538347095251,0.01099034771323204,0.01397456880658865,0.015062207356095314,ROI_0065/20200410T142731_20200410T143742_T19HCA
35,0.040524668991565704,0.04673338308930397,0.04608464613556862,0.05772498622536659,ROI_0069/20190516T151709_20190516T152114_T18LTM
36,0.0407092422246933,0.04290670529007912,0.043345723301172256,0.053538061678409576,ROI_0069/20190913T151709_20190913T152341_T18LTM
37,0.033666543662548065,0.04023071750998497,0.0390637144446373,0.04981029033660889,ROI_0069/20200225T151701_20200225T152133_T18LTM
38,0.033423520624637604,0.04206889122724533,0.04180631414055824,0.05365066975355148,ROI_0069/20200510T151659_20200510T152614_T18LTM
39,0.048018574714660645,0.060607604682445526,0.059299591928720474,0.07251548022031784,ROI_0069/20200624T151711_20200624T151850_T18LTM
40,,,,,ROI_0079/20190120T203751_20190120T203749_T08VMM
41,0.0181424580514431,0.019020188599824905,0.03032817132771015,0.021670479327440262,ROI_0079/20190624T202849_20190624T203750_T08VMM
42,0.056280311197042465,0.05816405639052391,0.08656762540340424,0.10021622478961945,ROI_0079/20190706T201851_20190706T202346_T08VMM
