,B2,B3,B4,B5,B6,B7,B8,id
2942,0.01485188864171505,0.009247259236872196,0.007125167641788721,0.014009672217071056,0.016622591763734818,0.01702185533940792,0.012414755299687386,ROI_6859/20190330T152639_20190330T152641_T18PZU
2943,0.008495236746966839,0.009528035297989845,0.008884336799383163,0.015208395197987556,0.01150442659854889,0.009356862865388393,0.00877181813120842,ROI_6859/20191210T152641_20191210T152635_T18PZU
2944,0.0200146846473217,0.020206930115818977,0.01948903687298298,0.025088215246796608,0.02609018050134182,0.02362729422748089,0.02588004060089588,ROI_6859/20200109T152631_20200109T152633_T18PZU
2945,0.009579241275787354,0.012713007628917694,0.013348165899515152,0.0185242947191,0.018412072211503983,0.01843477226793766,0.019047094509005547,ROI_6861/20190129T152639_20190129T152639_T18PZU
2946,0.01497291773557663,0.01917795091867447,0.014094989746809006,0.02696675807237625,0.021496109664440155,0.015689639374613762,0.015599017031490803,ROI_6861/20191110T152641_20191110T152641_T18PZU
2947,0.011029885150492191,0.010849673300981522,0.011022880673408508,0.016486944630742073,0.015786759555339813,0.015532005578279495,0.01449431199580431,ROI_6861/20200104T152639_20200104T152634_T18PZU
2948,0.01199090015143156,0.010430030524730682,0.009686201810836792,0.020339079201221466,0.01410895586013794,0.009819548577070236,0.008192564360797405,ROI_6861/20200702T152639_20200702T152753_T18PZU
2949,0.01487483736127615,0.014143772423267365,0.010245482437312603,0.023984966799616814,0.016609923914074898,0.010787337087094784,0.009451260790228844,ROI_6861/20200707T152641_20200707T152643_T18PZU
2950,0.007774682715535164,0.01174838375300169,0.00855252891778946,0.019213330000638962,0.013977031223475933,0.01068677008152008,0.009298895485699177,ROI_6862/20190414T152641_20190414T152811_T18PZU
2951,0.013144215568900108,0.009957660920917988,0.009630942717194557,0.015229680575430393,0.011048811487853527,0.007596658542752266,0.00723425904288888,ROI_6862/20190514T152641_20190514T152643_T18PZU
2952,0.01434634905308485,0.010107741691172123,0.009753120131790638,0.021679148077964783,0.015851877629756927,0.009791194461286068,0.008429075591266155,ROI_6862/20190812T152641_20190812T152642_T18PZU
2953,0.014560955576598644,0.009585355408489704,0.010022439062595367,0.02798360213637352,0.02055252157151699,0.01157131977379322,0.008699098601937294,ROI_6862/20200707T152641_20200707T152643_T18PZU
2954,0.0074978903867304325,0.010262099094688892,0.007660584058612585,0.023054488003253937,0.01942128874361515,0.015048427507281303,0.012439113110303879,ROI_6862/20200712T152639_20200712T152640_T18PZU
2955,0.036855582147836685,0.0364740788936615,0.027710694819688797,0.043819982558488846,0.07329431176185608,0.08540709316730499,0.07663111388683319,ROI_6911/20190312T182141_20190312T182905_T12TXT
2956,0.015234531834721565,0.008468341082334518,0.005896325223147869,0.0061874426901340485,0.005956362467259169,0.006724866107106209,0.0022994382306933403,ROI_6911/20190831T180919_20190831T181408_T12TXT
2957,0.006338641047477722,0.006647393573075533,0.007809874136000872,0.010142471641302109,0.01322886161506176,0.01509949378669262,0.015333274379372597,ROI_6911/20191023T182419_20191023T182537_T12TXT
2958,0.013417860493063927,0.012687125243246555,0.015891235321760178,0.018889378756284714,0.02297784946858883,0.024770749732851982,0.02682448737323284,ROI_6911/20200106T182741_20200106T182737_T12TXT
2959,0.01418726984411478,0.007733501493930817,0.0068435994908213615,0.004743553232401609,0.00553031824529171,0.007066221442073584,0.005935969762504101,ROI_6911/20200331T181919_20200331T182901_T12TXT
2960,,,,,,,,ROI_6912/20190312T182141_20190312T182905_T12TWT
