,B2,B3,B4,B8,id
1880,0.039734214544296265,0.046507708728313446,0.05378977581858635,0.10208982974290848,ROI_11638/20190204T034949_20190204T034943_T48RTV
1881,,,,,ROI_11638/20190917T034531_20190917T035312_T48RTV
1882,0.019892660900950432,0.028257936239242554,0.03814980015158653,0.08829795569181442,ROI_11638/20191226T035151_20191226T035837_T48RTV
1883,0.033857885748147964,0.041282568126916885,0.03885316848754883,0.08442897349596024,ROI_11638/20200514T034541_20200514T035006_T48RTV
1884,0.03384621441364288,0.03732757270336151,0.03036886267364025,0.08082936704158783,ROI_11638/20200529T034539_20200529T035809_T47RQQ
1885,,,,,ROI_11646/20181219T031131_20181219T031126_T50TLL
1886,0.019036274403333664,0.012206447310745716,0.0119625898078084,0.01522836647927761,ROI_11646/20190426T031549_20190426T031948_T50TLL
1887,0.01918029971420765,0.013483193702995777,0.009516902267932892,0.02417735569179058,ROI_11646/20190622T030549_20190622T030557_T50TLL
1888,0.023021278902888298,0.01745782606303692,0.01136439386755228,0.02767629362642765,ROI_11646/20190824T031549_20190824T032228_T50TLL
1889,0.015357725322246552,0.016557473689317703,0.02138170786201954,0.035893019288778305,ROI_11646/20191104T030911_20191104T031229_T50TLL
1890,,,,,ROI_11671/20190507T065631_20190507T065814_T43WDP
1891,0.07635070383548737,0.052056703716516495,0.030976902693510056,0.015949390828609467,ROI_11671/20190926T064629_20190926T064624_T43WDP
1892,0.1346718966960907,0.11908870190382004,0.0833054855465889,0.03915126249194145,ROI_11671/20200430T063619_20200430T063621_T43WDP
1893,0.005424896255135536,0.00420569209381938,0.003968679811805487,0.00391213595867157,ROI_11671/20200605T065629_20200605T065635_T43WDP
1894,0.0967281311750412,0.09171419590711594,0.06642594188451767,0.021827904507517815,ROI_11671/20200629T063629_20200629T063628_T43WDP
1895,0.01482372172176838,0.01893027499318123,0.02224915288388729,0.030268363654613495,ROI_11762/20190205T142751_20190205T143545_T18GYN
1896,0.01757860742509365,0.02149752341210842,0.02543780393898487,0.0319950133562088,ROI_11762/20191030T141741_20191030T142632_T18GYN
1897,0.01680763252079487,0.021797139197587967,0.025892648845911026,0.03538399189710617,ROI_11762/20200212T141649_20200212T142733_T18GYN
1898,0.01518105436116457,0.021001439541578293,0.025223929435014725,0.03706522285938263,ROI_11762/20200227T141731_20200227T142443_T18GYN
1899,,,,,ROI_11762/20200306T142729_20200306T143549_T18GYN
1900,0.009102864190936089,0.009851125068962574,0.011451134458184242,0.0183655247092247,ROI_11763/20190220T142859_20190220T143519_T18GYN
1901,0.009106115438044071,0.010755171068012714,0.012579984031617641,0.019592583179473877,ROI_11763/20200212T141649_20200212T142733_T18GYN
1902,0.008509614504873753,0.01031095813959837,0.012198611162602901,0.019227420911192894,ROI_11763/20200215T142649_20200215T143542_T18GYN
1903,0.033030301332473755,0.02034785784780979,0.01762414164841175,0.03221376985311508,ROI_11763/20200502T141729_20200502T142937_T18GYN
1904,0.029029563069343567,0.018368206918239594,0.0167844295501709,0.027622023597359657,ROI_11763/20200505T142729_20200505T143745_T18GYN
