,B2,B3,B4,B5,B6,B7,B8,id
944,0.012509320862591267,0.012826606631278992,0.010405631735920906,0.01629747822880745,0.015284325927495956,0.012588351964950562,0.010023931041359901,ROI_9184/20200317T083659_20200317T084226_T36UXU
945,0.10116363316774368,0.07256843149662018,0.05381644144654274,0.04904172942042351,0.04224998503923416,0.0380559079349041,0.027951302006840706,ROI_9251/20190216T084031_20190216T084027_T37VEG
946,0.011140936985611916,0.00626751035451889,0.004899729508906603,0.007518074009567499,0.007966689765453339,0.008098969236016273,0.010239151306450367,ROI_9251/20190818T084601_20190818T085006_T37VEG
947,0.08865480124950409,0.06466197967529297,0.05303433910012245,0.049291614443063736,0.041223153471946716,0.03731415048241615,0.02834460511803627,ROI_9251/20191123T084301_20191123T084306_T37VEG
948,0.12156125903129578,0.08726472407579422,0.06896580010652542,0.05848902463912964,0.048952311277389526,0.04431493207812309,0.034223295748233795,ROI_9251/20200122T084241_20200122T084258_T37VEG
949,0.03813476860523224,0.02895071916282177,0.02429792284965515,0.025655601173639297,0.022550512105226517,0.020105917006731033,0.014775093644857407,ROI_9251/20200411T083601_20200411T083902_T37VEG
950,0.12468091398477554,0.10024202615022659,0.07984401285648346,0.06898529827594757,0.05533044785261154,0.047583166509866714,0.03744707629084587,ROI_9277/20190316T084719_20190316T084715_T37VFK
951,0.06409110128879547,0.04525519162416458,0.033720675855875015,0.032368533313274384,0.025300409644842148,0.021077286452054977,0.011289265006780624,ROI_9277/20190417T083601_20190417T083603_T37VFK
952,0.006081226747483015,0.0056693293154239655,0.005118161905556917,0.007686973083764315,0.006997560616582632,0.006141871213912964,0.005619856528937817,ROI_9277/20190502T083609_20190502T084027_T37VFK
953,0.0013665661681443453,0.0026291103567928076,0.00275443191640079,0.0025737364776432514,0.004387481603771448,0.005463272333145142,0.0030056245159357786,ROI_9277/20190616T083601_20190616T084207_T37VFK
954,0.00557779660448432,0.0025311950594186783,0.0024911132641136646,0.0067286803387105465,0.008261619135737419,0.00925233494490385,0.011529674753546715,ROI_9277/20190818T084601_20190818T085006_T38VLQ
955,0.04727272689342499,0.040260300040245056,0.0393294058740139,0.04565020650625229,0.04750407487154007,0.048171188682317734,0.052997611463069916,ROI_9659/20190104T024109_20190104T024110_T51TXF
956,0.009368591010570526,0.010052917525172234,0.009692506864666939,0.013782957568764687,0.023906469345092773,0.026873352006077766,0.02981068566441536,ROI_9659/20190504T023559_20190504T024226_T51TXF
957,0.017079582437872887,0.011700961738824844,0.011122602969408035,0.014361719600856304,0.04874250665307045,0.05496389418840408,0.05648704990744591,ROI_9659/20190605T022551_20190605T023452_T51TXF
958,0.07628331333398819,0.06730598956346512,0.06333795189857483,0.06558801233768463,0.0663025751709938,0.06494603306055069,0.06643813103437424,ROI_9659/20200119T024019_20200119T024022_T51TXF
959,0.006595059763640165,0.010968259535729885,0.006931161042302847,0.015412055887281895,0.042012568563222885,0.047254350036382675,0.04994306340813637,ROI_9659/20200530T022601_20200530T023518_T51TXF
960,0.023627132177352905,0.01131806056946516,0.008598672226071358,0.01307045016437769,0.008151949383318424,0.006482086610049009,0.006917593069374561,ROI_9761/20190120T035051_20190120T035439_T48TYT
961,0.0026888749562203884,0.0027582210022956133,0.004323797766119242,0.00759608019143343,0.006097586825489998,0.004615515936166048,0.010860258713364601,ROI_9761/20190609T034541_20190609T035004_T48TYT
962,0.006978008896112442,0.004349363036453724,0.004202325828373432,0.004391237627714872,0.0052543445490300655,0.00564003549516201,0.006270683370530605,ROI_9761/20190629T034541_20190629T034539_T48TYT
963,0.008305039256811142,0.002409339416772127,0.0025220122188329697,0.011923786252737045,0.0053300620056688786,0.003182678483426571,0.004586950410157442,ROI_9761/20200419T034529_20200419T034529_T48TYT
964,0.008396560326218605,0.0019519436173141003,0.002472623949870467,0.002517317421734333,0.0031231751199811697,0.0033187377266585827,0.008740832097828388,ROI_9761/20200618T034539_20200618T034537_T48TYT
965,,,,,,,,ROI_9770/20190403T053641_20190403T054058_T45VWJ
966,0.0084425900131464,0.00777040608227253,0.004511840175837278,0.0019431398250162601,0.003979814704507589,0.004634800832718611,0.0027024506125599146,ROI_9770/20190605T054641_20190605T055100_T45VWJ
967,0.0020133736543357372,0.0017762314528226852,0.00126883783377707,0.003848038148134947,0.006432872265577316,0.007428345270454884,0.0058837407268583775,ROI_9770/20190804T054641_20190804T054642_T45VWJ
968,0.018615826964378357,0.016332460567355156,0.014400063082575798,0.011630117893218994,0.008282193914055824,0.008196701295673847,0.008279914036393166,ROI_9770/20190816T053649_20190816T053944_T45VWJ
969,0.002439969452098012,0.0022905252408236265,0.001300971140153706,0.0037094103172421455,0.005634868051856756,0.006265014410018921,0.004701619502156973,ROI_9770/20200729T054641_20200729T054849_T45VWJ
970,,,,,,,,ROI_9795/20190506T063639_20190506T063634_T43WER
971,0.011127324774861336,0.008945957757532597,0.007297023665159941,0.009016446769237518,0.0080606359988451,0.007844772189855576,0.009485629387199879,ROI_9795/20190804T063639_20190804T063633_T43WER
972,0.007704611402004957,0.006290785502642393,0.006266097072511911,0.005451124627143145,0.006471770349889994,0.006757297553122044,0.006080382037907839,ROI_9795/20200607T064631_20200607T064858_T43WER
973,0.008216802030801773,0.005326518323272467,0.005266914144158363,0.006346161477267742,0.007033379282802343,0.006103832274675369,0.009151597507297993,ROI_9795/20200617T064631_20200617T064630_T43WER
974,0.0076851206831634045,0.006871617864817381,0.005332727450877428,0.0069799646735191345,0.007329334504902363,0.00617925776168704,0.006265417672693729,ROI_9795/20200722T064629_20200722T064811_T43WER
975,0.02368973009288311,0.012753491289913654,0.00861725676804781,0.011192922480404377,0.00904365535825491,0.00817185454070568,0.006627338007092476,ROI_10208/20200515T015631_20200515T020447_T51JTF
976,0.009791797026991844,0.006761821918189526,0.005463494453579187,0.008015308529138565,0.006480870768427849,0.005746836774051189,0.005539133213460445,ROI_10208/20200430T015619_20200430T020235_T51JTF
977,0.010424211621284485,0.003974972292780876,0.0030644231010228395,0.0064652469009160995,0.006617363076657057,0.0070985788479447365,0.004189878702163696,ROI_10208/20190720T015631_20190720T020447_T51JTF
978,0.019315149635076523,0.010560233145952225,0.007147225551307201,0.0069046830758452415,0.006655477453023195,0.0070410072803497314,0.005879288539290428,ROI_10208/20190521T015621_20190521T020445_T51JTF
