,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,id
0,0.015294353477656841,0.014718474820256233,0.013310008682310581,0.01706111803650856,0.01686207577586174,0.021064545959234238,0.025343533605337143,0.02268431894481182,0.02659064345061779,0.026667499914765358,0.01625453308224678,0.017597423866391182,ROI_0001/20190212T142031_20190212T143214_T19FDF
1,0.028988579288125038,0.028680158779025078,0.02743873931467533,0.025014376267790794,0.03220633044838905,0.0426020622253418,0.048729948699474335,0.04683137312531471,0.051882363855838776,0.0536433607339859,0.03865734860301018,0.020228268578648567,ROI_0001/20190304T142031_20190304T142654_T19FDF
2,0.016229519620537758,0.012723393738269806,0.015234727412462234,0.019075753167271614,0.0204460546374321,0.02198052406311035,0.024357367306947708,0.023950329050421715,0.02713213860988617,0.02893049456179142,0.030727636069059372,0.02958195097744465,ROI_0001/20190316T141049_20190316T142437_T19FDF
3,0.017673999071121216,0.010205583646893501,0.015928277745842934,0.01871781051158905,0.018736109137535095,0.027994418516755104,0.03379034250974655,0.032803378999233246,0.03767804801464081,0.061082784086465836,0.018284158781170845,0.024744858965277672,ROI_0001/20190525T141059_20190525T142053_T19FDF
4,0.029513435438275337,0.02422367036342621,0.0194020364433527,0.0203925222158432,0.023006046190857887,0.030628642067313194,0.035927217453718185,0.03331742808222771,0.0376361645758152,0.036314330995082855,0.021741218864917755,0.019631698727607727,ROI_0001/20200308T141731_20200308T143551_T19FDF
5,0.021892188116908073,0.015460324473679066,0.04076603055000305,0.07637889683246613,0.07842431962490082,0.06253577768802643,0.05998960882425308,0.06173838675022125,0.058051351457834244,0.06204467639327049,0.10132153332233429,0.1070607602596283,ROI_0010/20190125T112341_20190125T112624_T28QFG
6,0.01910574920475483,0.01658163033425808,0.031850703060626984,0.05819306895136833,0.06191122159361839,0.04731660336256027,0.04544685781002045,0.04192075878381729,0.04216064140200615,0.04567591845989227,0.08577542752027512,0.09001095592975616,ROI_0010/20190724T112121_20190724T113118_T28QFG
7,0.02483859844505787,0.02653154917061329,0.05499863997101784,0.097809799015522,0.10198765248060226,0.079661063849926,0.07715196162462234,0.06898067146539688,0.07359394431114197,0.07521387189626694,0.1563202142715454,0.15764598548412323,ROI_0010/20190813T112121_20190813T113228_T28QFG
8,0.009503578767180443,0.011292749084532261,0.030406050384044647,0.05977563560009003,0.062290433794260025,0.044219970703125,0.04180780425667763,0.03400837630033493,0.03816507011651993,0.03778333589434624,0.09736581891775131,0.10809201002120972,ROI_0010/20190907T112119_20190907T112853_T28QFG
9,0.007613681256771088,0.004771657288074493,0.04318372905254364,0.14059020578861237,0.12388120591640472,0.06070894002914429,0.05065882205963135,0.02444279193878174,0.03989192843437195,0.03884872794151306,0.18126381933689117,0.1517353653907776,ROI_0010/20190922T112111_20190922T113547_T28QFG
10,0.07241586595773697,0.05589699372649193,0.0852724239230156,0.14005669951438904,0.14492475986480713,0.1276017278432846,0.12517869472503662,0.12690618634223938,0.12584765255451202,0.12683913111686707,0.15165463089942932,0.1496187001466751,ROI_0011/20190130T103251_20190130T104108_T31REP
11,0.009256994351744652,0.01574334315955639,0.037105072289705276,0.07728724181652069,0.07990586012601852,0.06420167535543442,0.06187048181891441,0.06611146777868271,0.06087172403931618,0.06443685293197632,0.11581797152757645,0.11857876181602478,ROI_0011/20190306T103019_20190306T103540_T31REP
12,0.034388020634651184,0.026911361142992973,0.048370614647865295,0.09655626863241196,0.09837613999843597,0.07876385748386383,0.07622798532247543,0.08214963227510452,0.07589747756719589,0.08222634345293045,0.12820260226726532,0.12464072555303574,ROI_0011/20190318T102021_20190318T102646_T31REP
