,B2,B3,B4,B8,id
551,0.007288052700459957,0.0066285827197134495,0.005506472196429968,0.013669266365468502,ROI_1245/20190612T012659_20190612T012702_T56WMU
552,0.002160510513931513,0.0037299564573913813,0.00364867621101439,0.010044665075838566,ROI_1245/20190617T012701_20190617T012658_T56WMU
553,0.029550064355134964,0.016695115715265274,0.010535103268921375,0.011971190571784973,ROI_1245/20190804T013659_20190804T013700_T56WMU
554,0.0030765628907829523,0.0032408663537353277,0.0030940668657422066,0.010515695437788963,ROI_1245/20200614T013701_20200614T013659_T56WMU
555,0.00472145713865757,0.003975714091211557,0.0019076099852100015,0.011101276613771915,ROI_1256/20190720T054649_20190720T054813_T45WWN
556,0.0058119697496294975,0.0035974846687167883,0.003432382130995393,0.010732456110417843,ROI_1256/20190801T053651_20190801T053831_T45WWN
557,0.009529456496238708,0.007105744909495115,0.004478955175727606,0.014942658133804798,ROI_1256/20190816T053649_20190816T053944_T45WWN
558,0.016251273453235626,0.008974861353635788,0.005792783107608557,0.013877911493182182,ROI_1256/20200726T053651_20200726T053647_T45WWN
559,0.005679065827280283,0.0034329339396208525,0.002188882790505886,0.013231754302978516,ROI_1256/20200729T054641_20200729T054849_T45WWN
560,0.008295249193906784,0.008046953938901424,0.007638923358172178,0.01665867306292057,ROI_1261/20191122T125311_20191122T125309_T23KRS
561,0.007193354889750481,0.008021125569939613,0.007191073149442673,0.02265305444598198,ROI_1261/20191227T125309_20191227T125303_T24KTB
562,0.005747797898948193,0.006968966219574213,0.0065160891972482204,0.019709959626197815,ROI_1261/20200129T130239_20200129T130239_T24KTB
563,0.016521377488970757,0.011138051748275757,0.008708913810551167,0.020867204293608665,ROI_1261/20200520T125311_20200520T125314_T24KTB
564,0.009114549495279789,0.008959009312093258,0.00823559332638979,0.03376050293445587,ROI_1261/20200624T125309_20200624T125520_T24KTB
565,0.007994506508111954,0.011038197204470634,0.008104467764496803,0.04340631142258644,ROI_1276/20191028T031831_20191028T032444_T49RBN
566,0.006053725723177195,0.008157279342412949,0.006854977924376726,0.035991817712783813,ROI_1276/20191031T032851_20191031T033502_T49RBN
567,0.017059264704585075,0.019458932802081108,0.015391637571156025,0.04941356182098389,ROI_1276/20200129T033001_20200129T033624_T49RBN
568,0.010810480453073978,0.011164428666234016,0.00850219652056694,0.03571413829922676,ROI_1276/20200604T031551_20200604T031600_T49RBN
569,,,,,ROI_1276/20200624T031551_20200624T032157_T49RBN
570,0.009510397911071777,0.008841617964208126,0.010401046834886074,0.02652564086019993,ROI_1280/20190922T034539_20190922T035037_T48UXU
571,0.014934844337403774,0.010974342003464699,0.008560099638998508,0.01924409158527851,ROI_1280/20200611T035539_20200611T035539_T48UXU
572,,,,,ROI_1280/20200616T035541_20200616T040014_T48UXU
573,0.007240280508995056,0.008727658540010452,0.006674950011074543,0.02649857848882675,ROI_1280/20200623T034541_20200623T035007_T48UXU
574,0.010814426466822624,0.013178601861000061,0.010921693406999111,0.028378622606396675,ROI_1280/20200706T035541_20200706T035653_T48UXU
575,0.011831202544271946,0.00709372665733099,0.0048886677250266075,0.0041166688315570354,ROI_1298/20190513T080619_20190513T080937_T38UNA
576,0.00880237203091383,0.004762683063745499,0.0035131045151501894,0.00465789157897234,ROI_1298/20190629T075619_20190629T080033_T38UNA
577,0.00396164134144783,0.0037430957891047,0.0032234778627753258,0.004407666157931089,ROI_1298/20200608T075621_20200608T080252_T38UNA
578,0.003388078883290291,0.003353323321789503,0.0035617349203675985,0.004406500607728958,ROI_1298/20200628T075611_20200628T075614_T38UNA
579,0.006757378578186035,0.004276555497199297,0.0042687212117016315,0.006037617567926645,ROI_1298/20200723T075609_20200723T080317_T38UNA
580,0.008805747143924236,0.008448299020528793,0.010665960609912872,0.017460614442825317,ROI_1321/20191023T070229_20191023T070227_T39LTD
581,0.006898552644997835,0.0075658769346773624,0.007392630446702242,0.01555341761559248,ROI_1321/20200205T070221_20200205T070218_T39LTD
582,0.007505261804908514,0.006426264997571707,0.004298543557524681,0.011297991499304771,ROI_1321/20200316T070221_20200316T070223_T38LRJ
583,,,,,ROI_1321/20200619T070229_20200619T070229_T39LTD
584,0.005771791562438011,0.008531409315764904,0.011264216154813766,0.02591424621641636,ROI_1321/20200714T070231_20200714T070231_T39LTD
585,0.0057212840765714645,0.005202591419219971,0.0062310886569321156,0.007720455061644316,ROI_1322/20191207T070221_20191207T070224_T39KTB
586,0.003798689227551222,0.004205773118883371,0.004415266215801239,0.013246391899883747,ROI_1322/20200405T070221_20200405T070223_T39KTB
587,0.006281123962253332,0.007324293255805969,0.008022142574191093,0.01988564431667328,ROI_1322/20200515T070231_20200515T070232_T39KTB
588,,,,,ROI_1322/20200604T070231_20200604T070302_T38KRG
589,0.003176681697368622,0.004597585182636976,0.006367678288370371,0.014560971409082413,ROI_1322/20200714T070231_20200714T070231_T38KRG
590,0.0051573277451097965,0.0036627333611249924,0.004672110080718994,0.0093762231990695,ROI_1330/20181213T140049_20181213T140046_T21JTF
591,0.006422910373657942,0.006267160177230835,0.0037967998068779707,0.0098344124853611,ROI_1330/20190112T140049_20190112T140051_T21JTF
592,,,,,ROI_1330/20200401T140051_20200401T140826_T21JTF
593,0.008203412406146526,0.00440078042447567,0.0047948602586984634,0.007764643989503384,ROI_1330/20200620T140101_20200620T140058_T21JTF
594,0.005982538685202599,0.0033493847586214542,0.0030526919290423393,0.0068852948024868965,ROI_1330/20200730T140101_20200730T140058_T21JTF
595,0.0053068664856255054,0.006578887812793255,0.007512417621910572,0.020947694778442383,ROI_1333/20190201T170529_20190201T170648_T14QND
596,,,,,ROI_1333/20190830T165849_20190830T171517_T14QND
597,0.008606784045696259,0.008650342002511024,0.00686039961874485,0.029836483299732208,ROI_1333/20191228T170719_20191228T171451_T14QND
598,0.010203687474131584,0.011079792864620686,0.013094387948513031,0.022865135222673416,ROI_1333/20200607T164901_20200607T170704_T14QND
599,0.006181052885949612,0.005849016364663839,0.004184905905276537,0.018098335713148117,ROI_1333/20200725T165849_20200725T171158_T14QND
600,,,,,ROI_1346/20190212T181459_20190212T181453_T14VMN
601,0.02402539551258087,0.017089279368519783,0.011283179745078087,0.016945235431194305,ROI_1346/20190811T180929_20190811T180955_T14VMN
602,0.00910963211208582,0.010053250938653946,0.009982968680560589,0.017721960321068764,ROI_1346/20191005T181221_20191005T181658_T14VMN
