,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,id
556,0.028459949418902397,0.013936741277575493,0.010500680655241013,0.007915094494819641,0.009099787101149559,0.013765274547040462,0.011648371815681458,0.014091625809669495,0.014036384411156178,0.019447948783636093,0.008196531794965267,0.005800854414701462,ROI_1256/20190801T053651_20190801T053831_T45WWN
557,0.009423657320439816,0.0089137377217412,0.009595314972102642,0.011789768934249878,0.011467482894659042,0.012821627780795097,0.015033792704343796,0.017195703461766243,0.020368246361613274,0.02305607870221138,0.011207276955246925,0.006984414532780647,ROI_1256/20190816T053649_20190816T053944_T45WWN
558,0.015849385410547256,0.018690364435315132,0.01403654646128416,0.013936453498899937,0.011976920068264008,0.012490153312683105,0.015307835303246975,0.016021423041820526,0.018407920375466347,0.020394425839185715,0.014216561801731586,0.007659610360860825,ROI_1256/20200726T053651_20200726T053647_T45WWN
559,0.007003326900303364,0.007362514268606901,0.007339822594076395,0.010222808457911015,0.009730679914355278,0.012538552284240723,0.017006320878863335,0.017409030348062515,0.01998569443821907,0.022331656888127327,0.011164836585521698,0.007728356868028641,ROI_1256/20200729T054641_20200729T054849_T45WWN
560,0.02103310264647007,0.013459702953696251,0.013259172439575195,0.019966326653957367,0.017040666192770004,0.022062182426452637,0.02458597719669342,0.03752300143241882,0.027598796412348747,0.043557822704315186,0.032507702708244324,0.023567205294966698,ROI_1261/20191122T125311_20191122T125309_T23KRS
561,0.02208735980093479,0.012793478555977345,0.014925079420208931,0.025032958015799522,0.01742558740079403,0.02407052181661129,0.028582464903593063,0.028065253049135208,0.02891608513891697,0.036646150052547455,0.029986435547471046,0.018200112506747246,ROI_1261/20191227T125309_20191227T125303_T24KTB
562,0.025283297523856163,0.017140531912446022,0.014801130630075932,0.019939154386520386,0.016457445919513702,0.02065604366362095,0.025288164615631104,0.02661648578941822,0.026260821148753166,0.03124977834522724,0.023145724087953568,0.013589642941951752,ROI_1261/20200129T130239_20200129T130239_T24KTB
563,0.020967310294508934,0.02430059015750885,0.01956694945693016,0.01593862846493721,0.01514560915529728,0.02135666087269783,0.025601787492632866,0.027903134003281593,0.027461420744657516,0.03762461245059967,0.01984984613955021,0.013876408338546753,ROI_1261/20200520T125311_20200520T125314_T24KTB
564,0.020030947402119637,0.01316939014941454,0.01332305371761322,0.015881940722465515,0.016940616071224213,0.028835218399763107,0.03236446529626846,0.03159254044294357,0.03389139845967293,0.03387532755732536,0.025069447234272957,0.019404515624046326,ROI_1261/20200624T125309_20200624T125520_T24KTB
565,0.012364714406430721,0.010415609925985336,0.011665591970086098,0.014591207727789879,0.018035341054201126,0.03652327135205269,0.04266596958041191,0.04592481628060341,0.045795224606990814,0.04491826519370079,0.02676251344382763,0.016196440905332565,ROI_1276/20191028T031831_20191028T032444_T49RBN
566,0.006870174780488014,0.009944903664290905,0.012245241552591324,0.016653312370181084,0.021823715418577194,0.03548739477992058,0.042704738676548004,0.044553712010383606,0.04472293704748154,0.04268503561615944,0.02593795582652092,0.016699254512786865,ROI_1276/20191031T032851_20191031T033502_T49RBN
567,0.023843897506594658,0.017650829628109932,0.018502457067370415,0.01532663218677044,0.021356215700507164,0.0357687808573246,0.03936942294239998,0.04204240441322327,0.042659033089876175,0.04065624624490738,0.033528998494148254,0.021048061549663544,ROI_1276/20200129T033001_20200129T033624_T49RBN
568,0.013224972411990166,0.017078695818781853,0.01768173649907112,0.02293775975704193,0.018033109605312347,0.045504290610551834,0.044992707669734955,0.046393781900405884,0.04679568484425545,0.04292953759431839,0.026834309101104736,0.015363819897174835,ROI_1276/20200604T031551_20200604T031600_T49RBN
569,,,,,,,,,,,,,ROI_1276/20200624T031551_20200624T032157_T49RBN
570,0.024865688756108284,0.01695411466062069,0.01483011245727539,0.01281305868178606,0.014467909000813961,0.021365128457546234,0.023351408541202545,0.02455197274684906,0.024952448904514313,0.02386626787483692,0.03791908547282219,0.028129752725362778,ROI_1280/20190922T034539_20190922T035037_T48UXU
571,0.007321989629417658,0.009108406491577625,0.008874288760125637,0.011576183140277863,0.011883535422384739,0.017404988408088684,0.018622739240527153,0.019369540736079216,0.019215449690818787,0.01975191757082939,0.0208644550293684,0.020700568333268166,ROI_1280/20200611T035539_20200611T035539_T48UXU
572,,,,,,,,,,,,,ROI_1280/20200616T035541_20200616T040014_T48UXU
573,0.011477823369204998,0.007482703309506178,0.00895744003355503,0.01576792635023594,0.013449226506054401,0.02520017698407173,0.027408482506871223,0.02770337648689747,0.030237743631005287,0.031146200373768806,0.023265542462468147,0.01681264117360115,ROI_1280/20200623T034541_20200623T035007_T48UXU
574,0.010958569124341011,0.008373788557946682,0.011299996636807919,0.013354009948670864,0.014622945338487625,0.03510865941643715,0.03146203234791756,0.02938299998641014,0.0314941368997097,0.02934960275888443,0.03245207667350769,0.022047298029065132,ROI_1280/20200706T035541_20200706T035653_T48UXU
575,0.00789595302194357,0.009960977360606194,0.006006924901157618,0.007281954400241375,0.009372776374220848,0.007939985021948814,0.009043495170772076,0.008965110406279564,0.00788065791130066,0.018801627680659294,0.010250157676637173,0.02629130333662033,ROI_1298/20190513T080619_20190513T080937_T38UNA
576,0.009470812045037746,0.010858106426894665,0.005939003545790911,0.006930449046194553,0.005608305800706148,0.008391380310058594,0.008159754797816277,0.008670959621667862,0.00822939071804285,0.058287639170885086,0.01314977090805769,0.022872215136885643,ROI_1298/20190629T075619_20190629T080033_T38UNA
577,0.0070305815897881985,0.00784467812627554,0.006315132603049278,0.013983180746436119,0.009445504285395145,0.011929770931601524,0.012015381827950478,0.012418649159371853,0.011668210849165916,0.015900718048214912,0.01214886549860239,0.022701498121023178,ROI_1298/20200608T075621_20200608T080252_T38UNA
578,0.005958466324955225,0.007988814264535904,0.00756488461047411,0.01219935528934002,0.008520467206835747,0.009839169681072235,0.011082791723310947,0.010989497415721416,0.011172892525792122,0.01292293332517147,0.010894942097365856,0.020266475155949593,ROI_1298/20200628T075611_20200628T075614_T38UNA
579,0.010260798037052155,0.009876836091279984,0.008715549483895302,0.014243153855204582,0.012984082102775574,0.01107904314994812,0.012517630122601986,0.013195499777793884,0.012354043312370777,0.01622663252055645,0.01803009957075119,0.029160216450691223,ROI_1298/20200723T075609_20200723T080317_T38UNA
