,B2,B4,B8,B11,id
2257,0.9812822341918945,0.995008647441864,0.9991037845611572,0.999395489692688,ROI_3348/20190807T182929_20190807T182924_T12VWJ
2258,0.9200888872146606,0.9844070672988892,0.9949354529380798,0.9965904355049133,ROI_3348/20190909T183919_20190909T184421_T12VWJ
2259,0.9290083050727844,0.989784836769104,0.9965118169784546,0.9981667399406433,ROI_3348/20190921T183041_20190921T183044_T12VWJ
2260,0.9780067801475525,0.993657648563385,0.9960141181945801,0.9982568025588989,ROI_3351/20190519T173911_20190519T173907_T14VNH
2261,0.9261217713356018,0.974187970161438,0.9958146810531616,0.9963105916976929,ROI_3351/20190904T174909_20190904T175713_T14VNH
2262,0.9788370132446289,0.994517982006073,0.9980821013450623,0.9989367723464966,ROI_3351/20200615T174911_20200615T174914_T14VNH
2263,0.9954944849014282,0.9980310797691345,0.9997628331184387,0.9997554421424866,ROI_3351/20200712T173911_20200712T174044_T14VNH
2264,0.9506862759590149,0.98143070936203,0.9979308843612671,0.9978205561637878,ROI_3351/20200720T174909_20200720T175738_T14VNH
2265,,,,,ROI_3386/20190210T191529_20190210T191531_T11VNK
2266,,,,,ROI_3386/20190501T190919_20190501T191656_T11VNK
2267,0.9746377468109131,0.997066855430603,0.9978093504905701,0.99888676404953,ROI_3386/20190610T190919_20190610T191648_T11VNK
2268,0.9761337637901306,0.9933330416679382,0.9954188466072083,0.9977664351463318,ROI_3386/20190817T191911_20190817T192420_T11VNK
2269,,,,,ROI_3386/20191008T191259_20191008T191302_T11VNK
2270,0.9907675981521606,0.9952895045280457,0.993984580039978,0.9975713491439819,ROI_3445/20190912T132231_20190912T132231_T23MNS
2271,0.9879266023635864,0.9949951767921448,0.9955390691757202,0.9979307651519775,ROI_3445/20191116T132229_20191116T132231_T23MNS
2272,0.9995926022529602,0.999836802482605,0.999951958656311,0.9999622702598572,ROI_3445/20200429T132241_20200429T132236_T23MNS
2273,0.9372828602790833,0.9784416556358337,0.9903770685195923,0.9961830973625183,ROI_3445/20200623T132239_20200623T132235_T23MNS
2274,0.9438819289207458,0.9907237887382507,0.9930166006088257,0.9965717196464539,ROI_3445/20200628T132241_20200628T132238_T23MNS
2275,0.9360653758049011,0.9742218852043152,0.9688305258750916,0.9715029001235962,ROI_3448/20190213T130249_20190213T130246_T24KTG
2276,0.9567720890045166,0.9821707606315613,0.9839122891426086,0.9814079999923706,ROI_3448/20190305T130249_20190305T130244_T24KTG
2277,0.9215958118438721,0.9606549739837646,0.9720812439918518,0.9694501161575317,ROI_3448/20191115T130251_20191115T130249_T24KTG
2278,0.9664454460144043,0.9849702715873718,0.9791869521141052,0.9801395535469055,ROI_3448/20200114T130241_20200114T130241_T24KTG
2279,0.9992575645446777,0.9997523427009583,0.9998679161071777,0.9999379515647888,ROI_3448/20200314T130241_20200314T130243_T24KTG
2280,,,,,ROI_3465/20181224T120639_20181224T120639_T24FXF
2281,,,,,ROI_3465/20190821T120649_20190821T120648_T24FXF
2282,,,,,ROI_3465/20190913T121639_20190913T121640_T24FXF
2283,,,,,ROI_3465/20200205T121631_20200205T121632_T24FXF
