,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,IDK,id
3300,0.07730899006128311,0.05923263728618622,0.03326186165213585,0.01994330994784832,0.021097764372825623,0.03812231868505478,0.04084384813904762,0.04716257378458977,0.045916780829429626,0.09464837610721588,0.030121196061372757,0.022211123257875443,0.0,ROI_8820/20180119T101331_20180119T101331_T32SNF
3301,0.026212681084871292,0.025091761723160744,0.021068662405014038,0.020192895084619522,0.02334996499121189,0.033228784799575806,0.036208376288414,0.03856716305017471,0.038460005074739456,0.04882849007844925,0.03563673794269562,0.02384699508547783,0.0,ROI_8820/20181110T101239_20181110T101317_T32SNF
3302,0.01677197776734829,0.01656895875930786,0.013147763907909393,0.01786632649600506,0.019048448652029037,0.03761901333928108,0.033417582511901855,0.03819475322961807,0.0313970148563385,0.036931753158569336,0.027566391974687576,0.02093343250453472,0.0,ROI_8820/20190203T101221_20190203T101608_T32SNF
3303,0.016320284456014633,0.025188712403178215,0.021327616646885872,0.019415419548749924,0.017229324206709862,0.0141172856092453,0.014521591365337372,0.01765802502632141,0.024687662720680237,0.022002872079610825,0.03361311927437782,0.014773217029869556,0.0,ROI_8820/20190812T101031_20190812T102016_T32SNF
3304,0.024043899029493332,0.02291264943778515,0.01520159374922514,0.016927553340792656,0.01806134730577469,0.022162621840834618,0.023515280336141586,0.026657413691282272,0.026642587035894394,0.03058391623198986,0.0318731963634491,0.02216831035912037,0.0,ROI_8820/20191031T101141_20191031T101411_T32SNF
3305,0.010737011209130287,0.008572428487241268,0.013733983971178532,0.010249105282127857,0.019232723861932755,0.055827897042036057,0.07425884157419205,0.07716469466686249,0.07903889566659927,0.06969726830720901,0.047084927558898926,0.025581389665603638,0.0,ROI_8944/20180809T100019_20180809T100021_T33TVM
3306,0.017357664182782173,0.015245973132550716,0.01894347183406353,0.013084357604384422,0.029455263167619705,0.0785285085439682,0.09253629297018051,0.09185511618852615,0.0924791693687439,0.08828196674585342,0.055660977959632874,0.03167077526450157,0.0,ROI_8944/20190605T100039_20190605T100530_T33TVM
3307,0.022153621539473534,0.01821749098598957,0.017771041020751,0.012704582884907722,0.023134104907512665,0.06752148270606995,0.08715083450078964,0.09274963289499283,0.09285733103752136,0.08949816972017288,0.04706467688083649,0.026058895513415337,0.0,ROI_8944/20190903T100029_20190903T100659_T33TVM
3308,,,,,,,,,,,,,0.0,ROI_8944/20200131T100139_20200131T100542_T33TVM
3309,0.016514873132109642,0.013289443217217922,0.015454010106623173,0.012278420850634575,0.021569211035966873,0.06463788449764252,0.08670887351036072,0.0846499353647232,0.09082183241844177,0.0759359672665596,0.05242045596241951,0.028383133932948112,0.0,ROI_8944/20200729T100029_20200729T100152_T33TVM
3310,0.0806141048669815,0.04114440083503723,0.02274036593735218,0.021381109952926636,0.022398069500923157,0.018810845911502838,0.020465143024921417,0.02733510732650757,0.027178272604942322,0.030372217297554016,0.02995058335363865,0.018573155626654625,0.0,ROI_8946/20180324T095031_20180324T095537_T33TWL
3311,0.039351869374513626,0.031125640496611595,0.02363506518304348,0.01309112086892128,0.009027054533362389,0.014809666201472282,0.016101229935884476,0.017025498673319817,0.010476145893335342,0.022045038640499115,0.01475581619888544,0.0075119961984455585,0.0,ROI_8946/20181207T100409_20181207T100403_T33TWL
3312,0.07474295049905777,0.024679822847247124,0.02397584356367588,0.010691636241972446,0.010338777676224709,0.02170073799788952,0.019285891205072403,0.019406024366617203,0.016876986250281334,0.022923069074749947,0.01725405640900135,0.011213407851755619,0.0,ROI_8946/20200227T095029_20200227T095026_T33TWL
3313,0.021891402080655098,0.01121529284864664,0.009075555019080639,0.009298669174313545,0.011426450684666634,0.022954022511839867,0.026376713067293167,0.03201431781053543,0.026672419160604477,0.03055765852332115,0.017331978306174278,0.014563746750354767,0.0,ROI_8946/20200430T100019_20200430T100456_T33TWL
3314,0.011121486313641071,0.0062834955751895905,0.012921961024403572,0.009690546430647373,0.015885129570961,0.028290260583162308,0.025552593171596527,0.028255075216293335,0.02638656087219715,0.022452615201473236,0.01459215022623539,0.013983220793306828,0.0,ROI_8946/20200530T100029_20200530T100502_T33TWL
3315,0.01968109980225563,0.016096370294690132,0.017636410892009735,0.009295163676142693,0.010599304921925068,0.01550140418112278,0.014759262092411518,0.01674257218837738,0.02091110125184059,0.016434434801340103,0.0206229779869318,0.015634896233677864,0.0,ROI_8947/20180411T100029_20180411T100024_T33TWK
3316,0.03533833101391792,0.014317400753498077,0.011105232872068882,0.009094503708183765,0.01808471605181694,0.03081636130809784,0.03816305845975876,0.04608909785747528,0.042771171778440475,0.04059586301445961,0.021801620721817017,0.01382243912667036,0.0,ROI_8947/20190816T095031_20190816T095419_T33TWK
3317,,,,,,,,,,,,,0.0,ROI_8947/20190928T100031_20190928T100155_T33TWK
3318,0.013389535248279572,0.017497453838586807,0.013228506781160831,0.009784071706235409,0.02106645703315735,0.03460092470049858,0.03913462907075882,0.04866531491279602,0.05084184184670448,0.048843976110219955,0.028463808819651604,0.01343197375535965,0.0,ROI_8947/20191015T095031_20191015T095354_T33TWK
3319,0.0226553026586771,0.020389016717672348,0.01390781532973051,0.008706120774149895,0.00990593247115612,0.013633590191602707,0.016395749524235725,0.01851855404675007,0.01875060610473156,0.02047835662961006,0.01304683554917574,0.008903292007744312,0.0,ROI_8947/20200131T100139_20200131T100542_T33TWK
3320,0.012488104403018951,0.010913998819887638,0.012714352458715439,0.010362486355006695,0.016080249100923538,0.03726855292916298,0.04384338855743408,0.04503803327679634,0.05059165880084038,0.04374382272362709,0.031514912843704224,0.01797887682914734,0.0,ROI_8948/20180920T095021_20180920T095328_T33TWK
3321,0.146707683801651,0.08458984643220901,0.09503168612718582,0.07263651490211487,0.06259535253047943,0.0314151868224144,0.01827966794371605,0.033468715846538544,0.02144360914826393,0.15174785256385803,0.04000289365649223,0.03283955156803131,0.0,ROI_8948/20191010T095029_20191010T095728_T33TWK
3322,0.009909598156809807,0.009157679975032806,0.011587163433432579,0.01090962253510952,0.012640541419386864,0.01766415685415268,0.01768288016319275,0.022312046959996223,0.021690040826797485,0.026442265138030052,0.03189072012901306,0.02325598895549774,0.0,ROI_8948/20200407T095029_20200407T095026_T33TWK
