,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,id
19,0.020478524267673492,0.012722776271402836,0.004596139304339886,0.008932278491556644,0.007826130837202072,0.00876763928681612,0.010530444793403149,0.010936728678643703,0.011747987009584904,0.016336236149072647,0.007722800597548485,0.009980791248381138,ROI_0032/20191110T032951_20191110T033139_T49TFH
20,0.01622837781906128,0.006300716195255518,0.009762194007635117,0.009638508781790733,0.008588643744587898,0.01328215654939413,0.0177645031362772,0.010346253402531147,0.011513539589941502,0.029679054394364357,0.006009009666740894,0.00978569034487009,ROI_0044/20190327T100029_20190327T101005_T32QMM
21,0.019781427457928658,0.005464088171720505,0.006593335885554552,0.013299208134412766,0.0061690895818173885,0.014003349468111992,0.020442597568035126,0.01228672917932272,0.009160414338111877,0.026109693571925163,0.004699420649558306,0.005910688079893589,ROI_0044/20190526T100039_20190526T100712_T32QMM
22,,,,,,,,,,,,,ROI_0044/20190908T100031_20190908T100836_T32QMM
23,0.004312729928642511,0.0056008328683674335,0.013491222634911537,0.012311764992773533,0.006540750619024038,0.019122716039419174,0.021439163014292717,0.015311815775930882,0.014554549008607864,0.011540818959474564,0.00603812001645565,0.016193022951483727,ROI_0044/20200106T100401_20200106T100404_T32QMM
24,0.01309617143124342,0.005321831442415714,0.007415663916617632,0.006248976103961468,0.005907850805670023,0.009288708679378033,0.013309907168149948,0.007696067914366722,0.007314493414014578,0.0270866509526968,0.004941718652844429,0.0048512546345591545,ROI_0044/20200321T100029_20200321T100458_T32QMM
25,0.022971589118242264,0.014299418777227402,0.01436792965978384,0.03115876577794552,0.01816697046160698,0.02441076934337616,0.024761494249105453,0.02276228740811348,0.01301934476941824,0.021963898092508316,0.007125659380108118,0.00804975163191557,ROI_0064/20181217T015619_20181217T020219_T51JVH
26,0.016166668385267258,0.0092400424182415,0.00946780201047659,0.030665405094623566,0.01700439490377903,0.01938875950872898,0.018579581752419472,0.015331828966736794,0.006428421009331942,0.06995698809623718,0.003570192027837038,0.0071173617616295815,ROI_0064/20190317T015619_20190317T020354_T51JVH
27,0.03630753606557846,0.03404437378048897,0.026124214753508568,0.02699154242873192,0.01608198694884777,0.01863187551498413,0.017687086015939713,0.021197307854890823,0.011240524239838123,0.01818678341805935,0.007004221435636282,0.00752228032797575,ROI_0064/20190615T015629_20190615T020446_T51JVH
28,0.04348594695329666,0.04056710749864578,0.03238864988088608,0.018615415319800377,0.012327250093221664,0.012170569971203804,0.011524834670126438,0.015465473756194115,0.008490869775414467,0.01474371924996376,0.005334718152880669,0.006649937480688095,ROI_0064/20190622T014709_20190622T015123_T51JVH
29,0.025321422144770622,0.013961712829768658,0.011696752160787582,0.03157315403223038,0.014950327575206757,0.025043301284313202,0.02545470930635929,0.02504250593483448,0.01304438803344965,0.024227797985076904,0.0045331004075706005,0.008457927033305168,ROI_0064/20191102T015619_20191102T020403_T51JVH
30,0.02143586054444313,0.014861328527331352,0.012905239127576351,0.011236093938350677,0.012803961522877216,0.01265034545212984,0.012710132636129856,0.017722265794873238,0.013793781399726868,0.018563643097877502,0.012788224034011364,0.012345146387815475,ROI_0065/20190101T142749_20190101T143756_T19HCA
31,0.030349837616086006,0.014064888469874859,0.013460450805723667,0.009678971022367477,0.010924743488430977,0.011782382614910603,0.01183599978685379,0.019115906208753586,0.013963856734335423,0.021571392193436623,0.010836531408131123,0.011565628461539745,ROI_0065/20190116T142751_20190116T143701_T19HCA
32,0.022227413952350616,0.017584746703505516,0.01491115428507328,0.014831244945526123,0.016002608463168144,0.015548046678304672,0.015243969857692719,0.018038319423794746,0.015768688172101974,0.03487499803304672,0.016562582924962044,0.015613477677106857,ROI_0065/20190404T143759_20190404T144906_T19HCA
33,0.03802927955985069,0.026595689356327057,0.018406063318252563,0.012849993072450161,0.012856836430728436,0.011930031701922417,0.011578242294490337,0.01490719337016344,0.012844972312450409,0.04287765175104141,0.006990739610046148,0.005329330917447805,ROI_0065/20200129T143659_20200129T144449_T19HCA
34,0.0251604113727808,0.012220041826367378,0.014652012847363949,0.011130302213132381,0.011657072231173515,0.011900673620402813,0.01177220419049263,0.01743273250758648,0.013219158165156841,0.025443486869335175,0.014786102809011936,0.01588868536055088,ROI_0065/20200410T142731_20200410T143742_T19HCA
35,0.03698740527033806,0.03987859562039375,0.04434617608785629,0.044805992394685745,0.046084631234407425,0.04454396665096283,0.04775518178939819,0.04302437976002693,0.04524356126785278,0.04292465001344681,0.05632122978568077,0.06129365786910057,ROI_0069/20190516T151709_20190516T152114_T18LTM
36,0.0434381440281868,0.04237949848175049,0.04403763636946678,0.040634747594594955,0.04096473380923271,0.04053303226828575,0.04420312121510506,0.039756543934345245,0.04134074226021767,0.03845296800136566,0.05254083126783371,0.05615246295928955,ROI_0069/20190913T151709_20190913T152341_T18LTM
37,0.03912029787898064,0.03352602198719978,0.038985785096883774,0.038474567234516144,0.040266841650009155,0.03942813351750374,0.03950071707367897,0.0353398472070694,0.03934817761182785,0.03730614110827446,0.0480106882750988,0.05038570985198021,ROI_0069/20200225T151701_20200225T152133_T18LTM
38,0.027663838118314743,0.031866032630205154,0.037860553711652756,0.03973425552248955,0.04179134592413902,0.039702557027339935,0.04303666576743126,0.03768296539783478,0.040989212691783905,0.03694446384906769,0.052057262510061264,0.06025746092200279,ROI_0069/20200510T151659_20200510T152614_T18LTM
39,0.0508391372859478,0.04650307819247246,0.055666252970695496,0.0580805167555809,0.05891461297869682,0.058555737137794495,0.05942554399371147,0.05573822930455208,0.058476563543081284,0.050220757722854614,0.07150530070066452,0.07200928032398224,ROI_0069/20200624T151711_20200624T151850_T18LTM
40,,,,,,,,,,,,,ROI_0079/20190120T203751_20190120T203749_T08VMM
41,0.017417268827557564,0.016472432762384415,0.017218124121427536,0.021968349814414978,0.026055287569761276,0.030683018267154694,0.03240032121539116,0.035619091242551804,0.03520660474896431,0.04084130376577377,0.02269923686981201,0.019335778430104256,ROI_0079/20190624T202849_20190624T203750_T08VMM
42,0.05841440707445145,0.054889433085918427,0.0575619712471962,0.057097144424915314,0.06315840780735016,0.0772789791226387,0.0833192691206932,0.0866183266043663,0.08850368857383728,0.09146542102098465,0.09984388947486877,0.08566753566265106,ROI_0079/20190706T201851_20190706T202346_T08VMM
